Id,Batting Team,Team_Runs
980999,Royal Challengers Bangalore,211
980995,Royal Challengers Bangalore,186
980987,Royal Challengers Bangalore,248
980981,Royal Challengers Bangalore,151
980977,Royal Challengers Bangalore,175
980969,Royal Challengers Bangalore,195
980959,Royal Challengers Bangalore,185
980953,Royal Challengers Bangalore,179
980937,Royal Challengers Bangalore,180
980931,Royal Challengers Bangalore,185
980927,Royal Challengers Bangalore,170
980921,Royal Challengers Bangalore,191
980907,Royal Challengers Bangalore,227
829821,Royal Challengers Bangalore,139
829819,Royal Challengers Bangalore,180
829813,Royal Challengers Bangalore,2
829807,Royal Challengers Bangalore,83
829803,Royal Challengers Bangalore,84
829795,Royal Challengers Bangalore,235
829785,Royal Challengers Bangalore,226
829779,Royal Challengers Bangalore,124
829771,Royal Challengers Bangalore,115
829763,Royal Challengers Bangalore,200
829757,Royal Challengers Bangalore,99
829749,Royal Challengers Bangalore,134
829745,Royal Challengers Bangalore,154
829737,Royal Challengers Bangalore,191
829719,Royal Challengers Bangalore,166
829713,Royal Challengers Bangalore,179
734035,Royal Challengers Bangalore,154
734027,Royal Challengers Bangalore,165
734021,Royal Challengers Bangalore,160
734013,Royal Challengers Bangalore,142
734005,Royal Challengers Bangalore,186
733999,Royal Challengers Bangalore,190
733991,Royal Challengers Bangalore,166
733983,Royal Challengers Bangalore,168
733977,Royal Challengers Bangalore,158
729313,Royal Challengers Bangalore,124
729305,Royal Challengers Bangalore,70
729299,Royal Challengers Bangalore,148
729287,Royal Challengers Bangalore,116
729281,Royal Challengers Bangalore,146
598068,Royal Challengers Bangalore,106
598064,Royal Challengers Bangalore,190
598057,Royal Challengers Bangalore,115
598054,Royal Challengers Bangalore,183
598048,Royal Challengers Bangalore,162
598045,Royal Challengers Bangalore,174
598042,Royal Challengers Bangalore,187
598036,Royal Challengers Bangalore,171
598033,Royal Challengers Bangalore,136
598027,Royal Challengers Bangalore,263
598023,Royal Challengers Bangalore,123
598017,Royal Challengers Bangalore,152
598012,Royal Challengers Bangalore,165
598008,Royal Challengers Bangalore,158
598004,Royal Challengers Bangalore,130
597999,Royal Challengers Bangalore,156
548376,Royal Challengers Bangalore,123
548372,Royal Challengers Bangalore,215
548367,Royal Challengers Bangalore,171
548362,Royal Challengers Bangalore,173
548360,Royal Challengers Bangalore,142
548356,Royal Challengers Bangalore,185
548350,Royal Challengers Bangalore,158
548344,Royal Challengers Bangalore,143
548336,Royal Challengers Bangalore,189
548331,Royal Challengers Bangalore,166
548327,Royal Challengers Bangalore,186
548324,Royal Challengers Bangalore,136
548318,Royal Challengers Bangalore,205
548315,Royal Challengers Bangalore,123
548310,Royal Challengers Bangalore,157
501271,Royal Challengers Bangalore,147
501270,Royal Challengers Bangalore,185
501268,Royal Challengers Bangalore,175
501266,Royal Challengers Bangalore,129
501260,Royal Challengers Bangalore,121
501255,Royal Challengers Bangalore,105
501252,Royal Challengers Bangalore,151
